"id","host_response_rate","host_response_time","host_is_superhost","neighbourhood_group_cleansed","property_type","room_type","accommodates","bathrooms","bedrooms","bed_type","price","weekly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","has_availability","last_review","review_scores_rating","instant_bookable","cancellation_policy","profit","days_listed"
"392779","100%","within a few hours",TRUE,"Beacon Hill","Guesthouse","Entire home/apt",4,1,2,"Real Bed","112.00",NA,"$250.00","$85.00",2,"$15.00",30,TRUE,2020-06-03,96,FALSE,"moderate",2750,25
"430610","100%","within an hour",TRUE,"Other neighborhoods","House","Entire home/apt",8,3,3,"Real Bed","325.00",NA,"$200.00","$99.00",7,"$15.00",5,TRUE,2020-05-23,97,FALSE,"strict_14_with_grace_period",6683,21
"461234","100%","within a few hours",TRUE,"Ballard","Apartment","Entire home/apt",2,1,1,"Real Bed","99.00",NA,NA,NA,1,"$0.00",3,TRUE,2020-03-08,97,FALSE,"flexible",792,8
"461567","100%","within an hour",FALSE,"Other neighborhoods","House","Private room",3,1,1,"Real Bed","80.00","$500.00","$0.00","$25.00",2,"$0.00",2,TRUE,2020-03-13,95,TRUE,"moderate",6000,75
"490076","100%","within an hour",TRUE,"Other neighborhoods","Guest suite","Entire home/apt",2,1,1,"Real Bed","80.00","$500.00","$350.00","$45.00",3,"$12.00",3,TRUE,2020-06-07,94,TRUE,"moderate",7690,109
"491958","100%","within a day",TRUE,"Rainier Valley","Apartment","Entire home/apt",4,1,1,"Real Bed","79.00","$550.00","$100.00","$30.00",2,"$10.00",2,TRUE,2020-03-08,96,FALSE,"moderate",13110,166
"493591","100%","within a few hours",TRUE,"Other neighborhoods","House","Private room",2,1,1,"Real Bed","65.00","$485.00","$250.00","$70.00",16,"$30.00",3,TRUE,2020-03-10,97,TRUE,"flexible",9879,115
"552325","100%","within a few hours",TRUE,"Capitol Hill","Apartment","Entire home/apt",4,1,2,"Real Bed","149.00","$1,000.00","$500.00","$150.00",1,"$0.00",30,TRUE,2020-01-30,96,FALSE,"strict_14_with_grace_period",4719,31
"557126","100%","within an hour",TRUE,"Capitol Hill","House","Private room",2,1,1,"Real Bed","98.00","$600.00","$150.00","$25.00",3,"$0.00",2,TRUE,2020-02-17,97,FALSE,"moderate",5499,73
"564220","100%","within an hour",TRUE,"Rainier Valley","Bungalow","Private room",2,1,1,"Real Bed","40.00","$325.00",NA,"$5.00",2,"$15.00",2,TRUE,2020-03-11,95,FALSE,"flexible",2836,61
"573942","100%","within a few hours",TRUE,"Beacon Hill","Apartment","Private room",2,3,1,"Real Bed","60.00","$390.00","$100.00","$20.00",1,"$15.00",2,TRUE,2020-04-05,97,FALSE,"moderate",192,4
"580815","100%","within a day",FALSE,"Downtown","Apartment","Entire home/apt",2,1,1,"Real Bed","168.00","$914.00","$0.00","$150.00",1,"$0.00",30,TRUE,2020-05-15,96,FALSE,"moderate",16002,96
"609701","N/A","N/A",TRUE,"Other neighborhoods","Guesthouse","Entire home/apt",2,1,1,"Real Bed","99.00",NA,"$0.00","$30.00",1,"$0.00",2,TRUE,2020-02-29,98,TRUE,"moderate",1485,15
"611509","100%","within an hour",TRUE,"Other neighborhoods","House","Private room",2,1,1,"Real Bed","80.00","$425.00","$200.00","$40.00",1,"$15.00",2,TRUE,2020-03-20,98,FALSE,"moderate",80,1
"637710","25%","a few days or more",FALSE,"Other neighborhoods","House","Entire home/apt",8,1,3,"Real Bed","255.00","$1,200.00","$0.00","$60.00",8,"$30.00",1,TRUE,2020-03-15,96,TRUE,"moderate",2420,9
"658540","N/A","N/A",TRUE,"Central Area","House","Private room",2,1,1,"Real Bed","100.00","$300.00","$200.00","$20.00",2,"$100.00",1,TRUE,2020-03-17,98,FALSE,"flexible",17660,167
"677365","100%","within an hour",TRUE,"Delridge","Guest suite","Entire home/apt",6,1,2,"Real Bed","89.00",NA,"$0.00","$60.00",4,"$15.00",1,TRUE,2020-06-15,97,FALSE,"moderate",9091,102
"699460","N/A","N/A",TRUE,"Ballard","House","Private room",2,1,1,"Real Bed","95.00",NA,NA,"$40.00",2,"$35.00",2,TRUE,2020-02-16,98,FALSE,"moderate",1995,21
"703058","100%","within an hour",TRUE,"Other neighborhoods","House","Entire home/apt",4,1,2,"Real Bed","165.00",NA,"$600.00","$65.00",2,"$18.00",3,TRUE,2020-02-11,99,FALSE,"moderate",10880,60
"704764","100%","within an hour",TRUE,"Queen Anne","Apartment","Entire home/apt",5,1,2,"Real Bed","145.00",NA,"$450.00","$85.00",2,"$25.00",1,TRUE,2020-03-03,98,FALSE,"moderate",1940,15
"706385","100%","within an hour",TRUE,"Cascade","Apartment","Entire home/apt",2,1,1,"Real Bed","155.00",NA,"$300.00","$95.00",2,"$250.00",2,TRUE,2020-03-06,100,FALSE,"strict_14_with_grace_period",10182,78
"723846","100%","within a few hours",TRUE,"Northgate","Guesthouse","Entire home/apt",3,1,0,"Real Bed","129.00","$525.00","$300.00","$65.00",2,"$5.00",2,TRUE,2020-04-05,97,FALSE,"strict_14_with_grace_period",3641,38
"741699","100%","within an hour",TRUE,"Seward Park","House","Entire home/apt",6,2,3,"Real Bed","164.00","$964.00","$0.00","$80.00",4,"$65.00",30,TRUE,2020-05-28,97,TRUE,"flexible",16236,99
